Timestamp,From Bank,From Account,To Account,Amount Received,Receiving Currency,Payment Format,Converted USD
2022/09/01 00:02,12,8000F5030,8000F5030,2806.97,USD,Reinvestment,2806.97
2022/09/01 00:16,1420,801008520,80974B620,17.57,USD,Credit Card,17.57
2022/09/01 00:12,1,8012275D0,80141ED50,13818883.0,USD,Cheque,13818883.0
2022/09/01 00:22,12,800054B70,800054B70,10.44,USD,Reinvestment,10.44
2022/09/01 00:26,12,800043C00,800043C00,755.25,USD,Cheque,755.25
2022/09/01 00:20,12,800043C00,800043C00,876.16,USD,Credit Card,876.16
2022/09/01 00:27,12,8000551B0,8000551B0,21.77,USD,Reinvestment,21.77
2022/09/01 00:25,12,800059230,800059230,77285.26,USD,Reinvestment,77285.26
2022/09/01 00:13,12,80005A2A0,80005A2A0,261681.48,USD,Reinvestment,261681.48
2022/09/01 00:08,12,800055A70,800055A70,497338.05,USD,Reinvestment,497338.05
2022/09/01 00:01,12,80005B5F0,80005B5F0,24.37,USD,Reinvestment,24.37
2022/09/01 00:20,12,80005D3B0,80005D3B0,146758.59,USD,Reinvestment,146758.59
2022/09/01 00:08,12,80005E9C0,80005E9C0,172667.53,USD,Reinvestment,172667.53
2022/09/01 00:29,12,8000ED150,8000ED150,9.82,USD,Reinvestment,9.82
2022/09/01 00:20,12,8000F42A0,8000F42A0,524928.98,USD,Reinvestment,524928.98
2022/09/01 00:04,12,8000F8580,8000F8580,29117.33,USD,Reinvestment,29117.33
2022/09/01 00:12,12,800056E00,800056E00,139575.29,USD,Reinvestment,139575.29
2022/09/01 00:08,10,800105D30,800105F00,236392988.0,USD,Cheque,236392988.0
2022/09/01 00:07,12,8001068A0,8001068A0,15.45,USD,Reinvestment,15.45
2022/09/01 00:08,12,800106D00,800106D00,1611778.05,USD,Reinvestment,1611778.05
2022/09/01 00:27,3233,800106D50,800106D00,1384.46,USD,ACH,1384.46
2022/09/01 00:09,12,80010C340,80010C340,13774.9,USD,Reinvestment,13774.9
2022/09/01 00:20,12,80010C340,80010C340,14.32,USD,Reinvestment,14.32
2022/09/01 00:06,12,800108290,800108290,6648.19,USD,Reinvestment,6648.19
2022/09/01 00:05,12,800113FE0,800113FE0,102785.36,USD,Reinvestment,102785.36
2022/09/01 00:01,12,800113FE0,800113FE0,16.23,USD,Reinvestment,16.23
2022/09/01 00:00,12,8001167D0,8001167D0,16.08,USD,Reinvestment,16.08
2022/09/01 00:13,1,800042CB0,800117590,1037.24,USD,Cheque,1037.24
2022/09/01 00:20,1,800042CB0,800117590,1367.69,USD,Credit Card,1367.69
2022/09/01 00:25,12,8001193D0,8001193D0,215823.43,USD,Reinvestment,215823.43
2022/09/01 00:22,12,80011B620,80011B620,11142.82,USD,Reinvestment,11142.82
2022/09/01 00:23,220,80010C2F0,80012A760,24158800.08,USD,Cheque,24158800.08
2022/09/01 00:13,220,80010C2F0,80012A760,7104381.9,USD,Cash,7104381.9
2022/09/01 00:28,12,80012A760,80012A760,3.57,USD,Reinvestment,3.57
2022/09/01 00:11,12,800132EC0,800132EC0,7.96,USD,Reinvestment,7.96
2022/09/01 00:01,12,800132080,800132080,305086.45,USD,Reinvestment,305086.45
2022/09/01 00:14,12,800132990,800132990,11591.6,USD,Reinvestment,11591.6
2022/09/01 00:07,12,800043C00,800132080,8612.46,USD,Cheque,8612.46
2022/09/01 00:14,12,800043C00,800132080,4557.73,USD,Cash,4557.73
2022/09/01 00:03,12,800135E30,800135E30,7.2,USD,Reinvestment,7.2
2022/09/01 00:21,12,800137450,800137450,15.52,USD,Reinvestment,15.52
2022/09/01 00:24,12,80013C0F0,80013C0F0,4.84,USD,Reinvestment,4.84
2022/09/01 00:24,10,8001074F0,800145390,10941283.39,USD,Cheque,10941283.39
2022/09/01 00:17,10,8001074F0,800145390,5513602.04,USD,Cash,5513602.04
2022/09/01 00:29,10,8001074F0,800145390,2404240.77,USD,ACH,2404240.77
2022/09/01 00:23,10,8001074F0,800145390,2055890.5,USD,Wire,2055890.5
2022/09/01 00:03,12,800145390,800145390,21.08,USD,Reinvestment,21.08
2022/09/01 00:07,1,8000EBF70,8001473E0,2781.93,USD,Cheque,2781.93
2022/09/01 00:22,1,8000EBF70,8001473E0,7370.59,USD,Cash,7370.59
2022/09/01 00:27,12,8001473E0,8001473E0,20.31,USD,Reinvestment,20.31
2022/09/01 00:20,12,800149FB0,800149FB0,411423.16,USD,Reinvestment,411423.16
2022/09/01 00:18,12,800150F20,800150F20,374631.74,USD,Reinvestment,374631.74
2022/09/01 00:12,12,800145390,800110F70,367.52,USD,Cheque,367.52
2022/09/01 00:01,12,800145390,800110F70,97.56,USD,Credit Card,97.56
2022/09/01 00:08,12,800145390,800110F70,9.38,USD,ACH,9.38
2022/09/01 00:13,12,800145390,800110F70,10.84,USD,Wire,10.84
2022/09/01 00:20,12,800154500,800154500,6.89,USD,Reinvestment,6.89
2022/09/01 00:20,12,800157DF0,800157DF0,6732.91,USD,Reinvestment,6732.91
2022/09/01 00:14,12,800140D90,800140D90,31419.78,USD,Reinvestment,31419.78
2022/09/01 00:25,12,800147C30,800147C30,52709.17,USD,Reinvestment,52709.17
2022/09/01 00:11,12,80013DF00,80013DF00,10.49,USD,Reinvestment,10.49
2022/09/01 00:13,12,800140D90,800140D90,14.78,USD,Reinvestment,14.78
2022/09/01 00:06,12,80014EAE0,80014EAE0,20.6,USD,Reinvestment,20.6
2022/09/01 00:02,12,80013AA10,80013AA10,4196.9,USD,Reinvestment,4196.9
2022/09/01 00:06,12,80015E8B0,80015E8B0,607809.45,USD,Reinvestment,607809.45
2022/09/01 00:26,12,80015E8B0,80015E8B0,19.53,USD,Reinvestment,19.53
2022/09/01 00:04,12,800172410,800172410,108030.48,USD,Reinvestment,108030.48
2022/09/01 00:23,12,800174E40,800174E40,16.49,USD,Reinvestment,16.49
2022/09/01 00:18,10,800128000,80018B2C0,111.96,USD,Cheque,111.96
2022/09/01 00:15,10,800128000,80018B2C0,644.22,USD,Credit Card,644.22
2022/09/01 00:26,12,80018B2C0,80018B2C0,9.06,USD,Reinvestment,9.06
2022/09/01 00:12,12,8001894E0,8001894E0,68.62,USD,Reinvestment,68.62
2022/09/01 00:24,12,800134B10,800134B10,12976.01,USD,Reinvestment,12976.01
2022/09/01 00:04,12,800135BA0,800135BA0,1638.25,USD,Reinvestment,1638.25
2022/09/01 00:05,12,8001632A0,8001632A0,11338.08,USD,Reinvestment,11338.08
2022/09/01 00:18,12,8001A37B0,8001A37B0,665644.14,USD,Reinvestment,665644.14
2022/09/01 00:25,12,8001A37B0,8001A37B0,21.02,USD,Reinvestment,21.02
2022/09/01 00:06,12,8001A4480,8001A4480,30271.15,USD,Reinvestment,30271.15
2022/09/01 00:26,12,8001A4930,8001A4930,4.86,USD,Reinvestment,4.86
2022/09/01 00:04,12,8001A7E70,8001A7E70,894293.97,USD,Reinvestment,894293.97
2022/09/01 00:09,12,8001A8960,8001A8960,4.53,USD,Reinvestment,4.53
2022/09/01 00:09,12,8001A8EB0,8001A8EB0,13769.83,USD,Reinvestment,13769.83
2022/09/01 00:08,70,100428660,8001A8EB0,245677.91,USD,Cheque,245677.91
2022/09/01 00:07,70,100428660,8001A8EB0,17459.98,USD,Credit Card,17459.98
2022/09/01 00:13,70,100428660,8001A8EB0,287486.82,USD,Cash,287486.82
2022/09/01 00:14,12,8001C5670,8001C5670,5.57,USD,Reinvestment,5.57
2022/09/01 00:28,12,8001C64C0,8001C64C0,812645.66,USD,Reinvestment,812645.66
2022/09/01 00:17,12,8001C64C0,8001C64C0,6.44,USD,Reinvestment,6.44
2022/09/01 00:04,12,8001C8580,8001C8580,4712.93,USD,Reinvestment,4712.93
2022/09/01 00:12,12,8001C8580,8001C8580,8.64,USD,Reinvestment,8.64
2022/09/01 00:10,12,800137450,8001CF680,3497.55,USD,Cheque,3497.55
2022/09/01 00:20,12,800137450,8001CF680,14271.35,USD,Credit Card,14271.35
